,sent_src,score_src,sum_src,sent_tgt,score_tgt,sum_tgt,score_diff,sum_diff,diff_pos
649,"Chante Jawaon Mallard, 27, is charged with murder and tampering with evidence.",[0 1 0 0 0],1,"Now, nearly two years later, Mallard prepares for trial on charges of murder and tampering with evidence.",[0 0 0 0 0],0,1,-1,1
650,"In Nairobi, Kenya, the Very Rev. Peter Karanja, provost of All Saints Cathedral, said the U.S. Episcopal Church ""is alienating itself from the Anglican Communion.""",[0 0 0 1 0],1,"The Episcopal Church ''is alienating itself from the Anglican Communion,'' said the Very Rev. Peter Karanja, provost of the All Saints Cathedral, in Nairobi.",[0 0 0 0 0],0,1,1,3
663,Florida’s Third District Court of Appeal said on Wednesday the original proceedings were “irretrievably tainted” by misconduct by attorneys for the class.,[1 0 0 1 0],2,"Florida's Third District Court of Appeal saidon Wednesdaythe original proceedings were ""irretrievably tainted"" by misconduct by lawyers representing the class.",[1 0 0 0 0],1,1,-1,3
671,"The day after Wilkie resigned, Howard said in a televised address that Iraq possessed ""chemical and biological weapons capable of causing death and destruction on a mammoth scale"".",[0 0 0 1 0],1,"In a televised address back in March, Mr Howard declared Iraq had weapons capable of ""causing death and destruction on a mammoth scale"".",[0 0 0 0 0],0,1,1,3
686,"""We've put a lot of effort and energy into improving our patching progress, probably later than we should have.",[0 0 0 1 0],1,"""We have put a lot of energy into patching, later than we should have,"" he said.",[0 0 0 0 0],0,1,1,3
699,"But Odette is the first to form over the Caribbean Sea in December, the Center said.",[1 1 0 1 0],3,It is the first named storm to develop in the Caribbean in December.,[1 1 0 0 0],2,1,1,3
700,"Announced last week, Apple's iTunes Music Store has sold over 1 million songs in the first week, the company announced on Monday.",[0 0 0 1 0],1,"Apple Computer's new online music service sold more than 1 million songs during its first week of operation, the company said Monday.",[0 0 0 0 0],0,1,1,3
705,"Like the Power4, the Power5 contains two processor cores on one chip.",[1 0 0 0 0],1,"Power5, like Power4, includes two processor cores in a single slice of silicon.",[0 0 0 0 0],0,1,-1,0
710,But stocks have rallied sharply over the past 3-1/2 months amid hopes for an economic rebound later this year.,[1 1 0 0 0],2,But stocks have roared higher in the past 3-1/2 months amid hopes for an economic rebound.,[1 0 0 0 0],1,1,1,1
712,"SSE shares were little changed, up 0.3 percent at 654 pence by 1018 GMT, but analysts welcomed the move.",[1 1 0 1 0],3,SSE shares were unchanged at 652 pence by 0835 GMT but analysts welcomed the deal.,[1 1 0 0 0],2,1,1,3
713,"""There is no conscious policy of the United States, I can assure you of this, to move the dollar at all,"" he said.",[0 0 0 1 0],1,He also said there is no conscious policy by the United States to move the value of the dollar.,[0 0 0 0 0],0,1,1,3
722,He was reported as saying Prime Minister Sir Allan Kemakeza had made a deal with him to keep his guns while notorious warlord Harold Keke's group was armed.,[0 1 0 0 0],1,He reportedly claims Prime Minister Sir Allan Kemakeza had made a deal with him to keep his guns while Harold Keke's group was armed.,[0 0 0 0 0],0,1,-1,1
724,"In an unusual move that critics contend could disrupt millions of Web sites, the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages.",[1 1 0 1 0],3,"In an unusual move, the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages that critics contend could disrupt millions of Web sites.",[1 1 0 0 0],2,1,-1,3
729,"Newisys, an Austin, Texas, startup headed by former IBM and Dell execs, will become a wholly-owned subsidiary.",[1 1 0 0 1],3,"According to Sanmina-SCI, Newisys, based in Austin, Texas, will become a wholly-owned subsidiary.",[1 1 0 0 0],2,1,-1,4
736,"But waiting crowds filling the streets rushed the bridges soon after daylight, overrunning razor-wire barricades.",[0 1 0 0 0],1,"Waiting crowds filling the streets on both sides overwhelmed the peacekeepers soon after daylight, sweeping past the barbed wire barricades.",[0 0 0 0 0],0,1,-1,1
747,"Jeter, who dislocated his left shoulder in a collision March 31, took batting practice on the field for the first time Monday.",[0 1 0 0 1],2,He took batting practice on the field for the second time Tuesday since his opening-day injury.,[0 1 0 0 0],1,1,-1,4
752,"""Mr Gilbertson would have been entitled to these superannuation payments irrespective of ... (how) he left the company,"" Mr Argus said.",[0 0 0 1 0],1,"""Mr Gilbertson would have been entitled to these (pension) payments irrespective of the circumstances in which he left the company,"" Mr Argus said.",[0 0 0 0 0],0,1,1,3
754,"Graham said the surgery was not exactly the way to begin a campaign, but he is recovered.",[0 0 0 1 0],1,"Graham acknowledged that surgery was not exactly the way to begin a campaign, but he said he feels strong and has the go-ahead from his doctors.",[0 0 0 0 0],0,1,1,3
757,"""September and third quarter data confirm that demand in the global semiconductor market is rising briskly,"" stated SIA President George Scalise, in a statement.",[0 0 0 1 0],1,"""September and third-quarter data confirm that demand in the global semiconductor market is rising briskly,"" George Scalise, the SIA's president, said in the statement.",[0 0 0 0 0],0,1,-1,3
761,"""There is no conscious policy of the United States, I can assure you of this, to move the dollar at all,"" he said.",[0 0 0 1 0],1,"""There is no conscious policy on the part of the United States to move the dollar at all,"" Snow said.",[0 0 0 0 0],0,1,-1,3
762,"""Events on our system, in and of themselves, could not account for the widespread nature of the outage,"" FirstEnergy Chief Executive Peter Burg told the House panel.",[0 0 0 1 0],1,"""Events on our system, in and of themselves, could not account for the widespread nature of the outage,"" Burg said.",[0 0 0 0 0],0,1,1,3
765,The ambassador said it was up to the Americans to press the Iraqi council to make the invitation - a move he said the United States appears unwilling to make.,[1 1 0 1 0],3,"The ambassador said it was up to the Americans to press the Iraqis to make the invitation, which he said the United States appears unwilling to do.",[1 1 0 0 0],2,1,-1,3
786,"He had been in protective custody since being transferred to Souza-Baranowski in April, officials said.",[0 0 0 1 0],1,Mr. Geoghan had been living in a protective custody unit since being transferred to the prison on April 3.,[0 0 0 0 0],0,1,-1,3
807,"When the manager let him in the apartment, Brianna was in her mother's bedroom lying in a baby's bathtub, covered with a towel and watching cartoons.",[0 1 0 0 0],1,"When a manager let him into the apartment, the youngster was lying in a baby's bathtub, covered with a towel and was watching a TV cartoon channel.",[0 0 0 0 0],0,1,1,1
808,"ATA spokeswoman Diana Cronan said travel was down in May through July, and she also expects it to be down some over Labor Day.",[0 0 0 1 0],1,Air Transport Association spokeswoman Diana Cronan said that travel was down in May through July and that she also expected it to be off over Labor Day.,[0 0 0 0 0],0,1,-1,3
812,"Jordan Green, the prelate's private lawyer, said he had no comment.",[0 0 0 0 1],1,"O'Brien's attorney, Jordan Green, declined to comment.",[0 0 0 0 0],0,1,1,4
818,Representatives of abuse victims expressed dismay at the possibility.,[1 1 0 0 0],2,Representatives of abuse victims were dismayed by the development.,[1 0 0 0 0],1,1,-1,1
820,No company employee has received an individual target letter at this time.,[0 1 0 0 0],1,"She said no company official had received ""an individual target letter at this time.""",[0 0 0 0 0],0,1,1,1
827,"In 2002, the chairman of the Senate Judiciary Committee took in $18,009 from moonlighting as a songwriter, according to his latest Senate financial disclosure.",[1 1 0 0 0],2,"In 2002, Senator Trapdoor took in $18,009 from moonlighting as a songwriter, according to his latest Senate financial disclosure.",[0 1 0 0 0],1,1,1,0
829,"Computer Associates, EMC, IBM, Sun Microsystems, and VERITAS are also onboard to support the storage standard.",[1 1 0 0 1],3,"In addition to HP, vendors backing SMI-S include Computer Associates, EMC, IBM, Sun and Veritas.",[1 1 0 0 0],2,1,-1,4
830,Business groups and border cities have raised concerns that US-VISIT will mean longer lines that will damage cross-border commerce.,[1 1 0 0 0],2,Business groups and border cities have raised concerns that US-VISIT will mean longer waits to cross borders and will hurt commerce.,[0 1 0 0 0],1,1,-1,0
834,"The broad Standard & Poor's 500 Index .SPX shed 0.17 of a point, or just 0.02 percent, to 934.",[0 0 1 0 0],1,"The Standard & Poor's 500 Index lost 6.77, or 0.7 percent, to 927.62 as of 10:33 a.m. in New York.",[0 0 0 0 0],0,1,-1,2
838,"Revenue rose 26 percent, to $817 million, the company, based in South San Francisco, Calif., said.",[0 0 0 0 1],1,"Revenue jumped 26 percent to $817 million, the South San Francisco-based company said in a statement.",[0 0 0 0 0],0,1,-1,4
845,His decision was delayed by concerns over the budget process in Washington and the war in Iraq.,[1 0 0 0 0],1,Daniels told the Star April 20 he was holding back because of concerns over the budget process in Washington and the war in Iraq.,[0 0 0 0 0],0,1,1,0
846,Juries in state and federal cases alike have also grown reluctant to impose the death penalty.,[1 1 0 0 0],2,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",[0 1 0 0 0],1,1,-1,0
849,"BT said it expected the combination to reap 60,000 additional customers between September and March, 2004.",[1 1 0 0 0],2,"BT said the combination would have an immediate impact on subscriptions with 60,000 additional customers between September and March, 2004.",[0 1 0 0 0],1,1,-1,0
860,"""His advice to the House Republicans is to pass it, to send it to him, so he can sign it.""",[1 0 0 1 0],2,"The president's ""advice to the House Republicans is to pass it, to send it to him, so he can sign it,"" said White House spokesman Ari Fleischer.",[0 0 0 1 0],1,1,1,0
861,"At his request, he will be reassigned within the district.",[0 1 0 0 0],1,District Superintendent J. Chester Floyd told reporters Monday that McCrackin will be reassigned within the district.,[0 0 0 0 0],0,1,1,1
862,"Worldwide, Les Misérables has been seen by over 50 million people, with a total gross of over $2 billion.",[1 0 0 0 0],1,"Worldwide, more than 50 million people have seen ""Les Miz,"" with gross receipts of $1.8 billion.",[0 0 0 0 0],0,1,-1,0
869,"In fact, said John Logsdon, a board member and George Washington University expert on space policy, ""human spaceflight had become a place where dissent was not welcome.""",[0 0 0 1 0],1,"John Logsdon, a board member, said that ""human spaceflight had become a place where dissent was not welcome.""",[0 0 0 0 0],0,1,-1,3
882,Parson has been charged on one count of intentionally causing or attempting to cause damage to a computer.,[0 1 0 0 0],1,Parson faces one federal count of intentionally causing damage to a protected computer.,[0 0 0 0 0],0,1,1,1
884,"The offer is also subject to Goldman signing an agreement with Drax's senior banks, senior bond holders and hedging banks by Sept. 30, it said.",[0 0 0 1 0],1,"The bank also said its offer was subject to the agreement of Drax's senior banks, senior bond holders and hedging banks by 30 September 2003.",[0 0 0 0 0],0,1,-1,3
885,"On Wednesday, Hill is scheduled to become the first person executed for murdering an abortion doctor.",[1 1 0 0 0],2,"Hill, 50, would be the first person executed for killing an abortion doctor.",[0 1 0 0 0],1,1,-1,0
887,"The Centers for Medicare and Medicaid Services, the federal agency that runs Medicare, last year began a similar effort for nursing homes.",[1 1 0 0 1],3,The Centers for Medicare and Medicaid launched a similar consumer tool for nursing homes last year.,[1 1 0 0 0],2,1,1,4
890,"The lawyer for Hollins Jr., Thomas Royce, has said his client had no link to the company that owned and operated E2.",[0 0 0 1 0],1,"Calvin Hollins Jr.'s attorney, Thomas Royce, has repeatedly said his client had no link with the company that owned and operated E2.",[0 0 0 0 0],0,1,-1,3
894,"""That ought to be the standard, not how many people actually signed up,"" Mr. Rule told the judge.",[0 0 0 1 0],1,"That ought to be the standard — not how many people sign up,"" he said.",[0 0 0 0 0],0,1,-1,3
900,Oracle's $19.50-a-share bid comes two days after PeopleSoft added cash to its original all-share deal with smaller rival J.D. Edwards & Co. JDEC.O .,[1 1 1 0 0],3,"The $19.50-a-share bid, comes two days after PeopleSoft revised its bid for smaller rival J.D. Edwards & Co. JDEC.O to include cash as well as stock.",[1 1 0 0 0],2,1,-1,2
901,"""[They] were defined by dedication and courage,"" said the CIA's director George Tenet.",[1 0 0 0 0],1,"CIA Director George Tenet said the two men were ""defined by dedication and courage.""",[0 0 0 0 0],0,1,-1,0
905,"Even the pizza delivery took part, unwittingly delivering a leaflet with the missing girl's picture during his run to Cruz's house.",[1 1 0 0 0],2,"Even the pizza man took part, delivering a flier with the missing girl's picture along with the pizza and a two-liter bottle of Pepsi to Cruz's house.",[0 1 0 0 0],1,1,-1,0
909,"Of all personal vehicles, 57 percent are cars or station wagons, 21 percent are vans or sport utility vehicles and 19 percent are light trucks.",[1 1 0 1 0],3,"Of personal vehicles, 57 percent are cars or station wagons, 21 percent vans or SUVs, 19 percent light trucks.",[1 1 0 0 0],2,1,-1,3
910,"Network security products maker Secure Computing Inc. said Tuesday it is acquiring content-filtering vendor N2H2 for $20 million, furthering consolidation in an already-competitive market.",[0 0 0 1 0],1,"Network security products maker Secure Computing said Tuesday it is acquiring content filtering firm N2H2 for $20 million, furthering consolidation in an already competitive market.",[0 0 0 0 0],0,1,1,3
916,"The Senate majority leader, Bill Frist, Republican of Tennessee, said he hoped Congress would finish work on the legislation by the end of September.",[0 0 0 1 1],2,"The Senate majority leader, Bill Frist, R-Tenn., said he hoped Congress would finish work on the legislation by late September.",[0 0 0 1 0],1,1,1,4
919,"""The risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future,"" the Fed said in a statement accompanying the unanimous decision.",[1 1 0 0 0],2,"""The risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future,"" the policy-setting Federal Open Market Committee said.",[0 1 0 0 0],1,1,1,0
922,"""He would often call me for advice,"" said Ronald L. Kuby, a friend and well-known lawyer who had represented him in the harassment case.",[1 0 0 0 0],1,"""He would often call me for advice,"" said lawyer Ron Kuby, a friend who had represented him in court.",[0 0 0 0 0],0,1,1,0
928,A public comment period on the proposed new taxes will end on Monday.,[1 1 1 0 0],3,The comment period was to have expired on Monday.,[1 1 0 0 0],2,1,-1,2
940,"""The Matrix Reloaded,"" which opened in limited previews Wednesday night, took in an estimated $135.8 million for all five days.",[1 1 0 0 1],3,"Matrix Reloaded opened in limited previews Wednesday night, and its total for all five days was estimated at $135.8 million.",[1 1 0 0 0],2,1,1,4
943,"The Bank of England ""requires growth from elsewhere in the economy and needs the economy to rebalance,"" he told the Press Association news agency.",[0 0 0 1 0],1,"""The bank requires growth from elsewhere in the economy and needs the economy to rebalance,"" he said in an interview with the Press Association news agency.",[0 0 0 0 0],0,1,-1,3
944,"Voters in Cleveland Heights, Ohio, were asked to decide whether to allow same-sex couples - and also unmarried heterosexual couples - to officially register as domestic partners.",[0 1 0 0 0],1,"Voters in Cleveland Heights, Ohio, approved a proposal allowing same-sex couples -- and also unmarried heterosexual couples -- to officially register as domestic partners.",[0 0 0 0 0],0,1,1,1
957,"SARS, the deadly respiratory disease first detected in China last November, gave the agency its first real test of a new state-of-the-art emergency operations center.",[1 1 0 0 1],3,"And SARS, the deadly respiratory disease first detected in China last November, tested the agency's new state-of-the-art emergency operations center.",[1 0 0 0 1],2,1,1,1
958,"Speaking to reporters at a New York news conference, Universal McCann's Coen projected that total U.S. ad spending will rise 4.6 percent to $247.7 billion this year.",[0 0 0 1 0],1,"This morning, at UM's New York office, Coen revised his expectations downward, saying that spending would instead rise 4.6 percent to $247 billion.",[0 0 0 0 0],0,1,-1,3
960,"Massachusetts has no state death penalty, and only once before -- in Michigan -- has the federal death penalty been given in a state without capital punishment.",[1 0 0 1 0],2,"Massachusetts does not have a state death penalty, and only once before - in Michigan - has the federal death penalty been given in a state without capital punishment.",[1 0 0 0 0],1,1,-1,3
963,"The 14-year-old national spelling finalist who attends school in Belmont, N.C., got a word that sounded like ""zistee"" during competition Wednesday.",[0 0 1 0 0],1,"Tom Kasmer, a 14-year-old from Belmont, N.C., got a word that sounded like ""zistee"" during yesterday's competition.",[0 0 0 0 0],0,1,-1,2
966,"The technology-laced Nasdaq Composite Index <.IXIC> declined 25.78 points, or 1.56 percent, to 1,627.84.",[1 1 1 0 0],3,"The technology-laced Nasdaq Composite Index .IXIC was down 27.13 points, or 1.64 percent, at 1,626.49, based on the latest data.",[1 1 0 0 0],2,1,-1,2
967,"GeCAD, founded in 1992 and based in Bucharest, provides anti-virus, anti-spam and content-filtering products under the name RAV AntiVirus.",[1 1 0 0 1],3,"Privately-held GeCAD Software, founded in 1992, has supplied antivirus and security products since 1994 under the name RAV AntiVirus.",[1 1 0 0 0],2,1,-1,4
970,"More than 1,000 people rallied over three days, proclaiming that genetically modified foods weren't the answer to the world's food problems.",[0 1 0 0 0],1,"More than 1,000 people staged mostly peaceful protests during the talks, proclaiming that genetically modified foods weren't the answer to the world's food problems.",[0 0 0 0 0],0,1,-1,1
973,"Yehuda Abraham, a 76-year-old jeweler from New York's diamond district, accepted a $30,000 down payment on behalf of Lakhani for the first missile, investigators said.",[1 0 0 0 0],1,"Yehuda Abraham, a 76-year-old jeweler in New York's diamond district, allegedly accepted a $30,000 down payment on behalf of Lakhani for the missiles, the government said.",[0 0 0 0 0],0,1,-1,0
976,"""After what happened here ... it's tacky and unpatriotic,"" said JoAnn Marquis, visiting the site with her husband from Salem, Mass.",[0 0 0 1 0],1,"""It's nasty,"" said JoAnn Marquis, visiting with her husband from Salem, Mass.""After what happened here .",[0 0 0 0 0],0,1,1,3
980,"Sir Jeremy Greenstock, the UK's ambassador to the UN, is due to lead a week-long Security Council mission to West Africa in mid-May.",[0 1 0 0 1],2,"The British ambassador to the United Nations, Sir Jeremy Greenstock, is scheduled to lead a Security Council Mission to the region in mid-May.",[0 1 0 0 0],1,1,-1,4
1001,"Upscale department store chain Nordstrom Inc. (nyse: JWN - news - people) jumped $1.49, or 9.4 percent, to $17.35.",[1 1 1 0 0],3,"Upscale department store chain Nordstrom Inc. JWN.N jumped $1.49, or 9.4 percent, to $17.35.",[1 1 0 0 0],2,1,1,2
1008,"The church's lawyer, Shirley Phelps-Roper, was clear: ""What they have done is a thinly veiled attempt to do an end run around the constitution,"" she said.",[1 0 0 1 0],2,"""What they have done is a thinly veiled attempt to do an end run around the Constitution,"" she said.",[0 0 0 1 0],1,1,-1,0
1011,"Pat Anderson, the attorney representing the parents, Bob and Mary Schindler, declined to comment.",[1 0 0 0 1],2,"Pat Anderson, the lawyer representing the Schindlers, declined to comment on the filing.",[0 0 0 0 1],1,1,1,0
1018,"Hewlett-Packard Co. (nyse: HPQ - news - people), the No. 2 computer maker, rose 41 cents, or 2.4 percent, to $17.29.",[1 1 1 0 1],4,"Hewlett-Packard Co. HPQ.N , the No. 2 computer maker, rose 41 cents, or 2.4 percent, to $17.29.",[1 1 0 0 1],3,1,-1,2
1020,"Taher, acting against his attorney's advice, became the fifth member of a group of six Yemeni-Americans to enter a plea agreement with the government in the case.",[1 1 0 0 1],3,"Taher, acting against his attorney's advice, became the fifth member of the six to enter a plea agreement with the government.",[0 1 0 0 1],2,1,1,0
1024,"""Rendezvous has been a TIBCO mark for many years and is one of our flagship products,"" said George Ahn, chief marketing officer, Tibco.",[0 0 0 1 0],1,"Tibco's chief marketing officer George Ahn said: ""Rendezvous has been a Tibco mark for many years and is one of our flagship products.",[0 0 0 0 0],0,1,1,3
1025,"But Miami is competing with eight other cities, including Atlanta; Panama City; Port-of-Spain, Trinidad; and Cancn, Mexico.",[1 0 0 0 0],1,"Several cities are competing for the headquarters, including Miami; Panama City; Atlanta; Port-of-Spain, Trinidad; and Puebla, Mexico.",[0 0 0 0 0],0,1,-1,0
1028,"His wife, Janet, said she heard the thud from the kitchen, where she was getting a glass of water.",[1 0 0 0 0],1,"Janet Racicot heard the thud from the kitchen, where she was getting a glass of water, she said in an interview Tuesday.",[0 0 0 0 0],0,1,-1,0
1029,"But as time passed and more people were shot, Moose had to admit that he couldn't give the public what it needed most from the police - safety.",[0 1 0 1 0],2,"But as more people were shot, Moose had to admit that he couldn't give the public the safety it needed.",[0 1 0 0 0],1,1,-1,3
1031,"The seal will ultimately be used on department materials, signage, credentials, badges, vehicles, sea vessels and aircraft.",[1 1 0 0 0],2,"The seal will ultimately be used to identify DHS badges, vehicles, signs, sea vessels and aircraft.",[0 1 0 0 0],1,1,-1,0
1032,"An airplane carrying Spanish peacekeepers back from Afghanistan crashed into a fog-shrouded mountain in Turkey and exploded Monday, killing all 75 people aboard.",[0 1 0 0 0],1,"A charter plane crashed in Turkey on Monday, killing all 75 people aboard, including 62 Spanish peacekeepers returning from Afghanistan, officials said.",[0 0 0 0 0],0,1,1,1
1037,"Spansion products are to be available from both AMD and Fujitsu, AMD said.",[1 1 0 1 0],3,Spansion Flash memory solutions are available worldwide from AMD and Fujitsu.,[1 1 0 0 0],2,1,1,3
1039,"Rambus Inc. (nasdaq: RMBS - news - people) shot up 38 percent, making it the biggest percentage gainer on the Nasdaq.",[1 1 1 0 0],3,"Rambus Inc. shot up almost 33 percent, making it the biggest percentage gainer on the Nasdaq.",[1 1 0 0 0],2,1,1,2
1048,The decomposed remains of 17-year-old Max Guarino of Manhattan were found floating near City Island April 25.,[1 1 1 0 0],3,"Max Guarino, 17, was found April 25 in the water off City Island.",[1 1 0 0 0],2,1,1,2
1050,"The man, Fazul Abdullah Mohammed, a Comoros islander, is on the U.S. FBI's list of most wanted suspects.",[1 1 0 0 1],3,"A Comoros islander, he is on the United States' list of most wanted suspects.",[1 1 0 0 0],2,1,1,4
1064,"Overture generates its search listings from more than 100,000 advertisers who bid for placement on keywords relevant to their business.",[1 1 0 0 0],2,"Overture's listings are generated by more than 100,000 advertisers who bid for placement on keywords relevant to their business.",[1 0 0 0 0],1,1,-1,1
1075,"While Montgomery was one of the first to enact such a law, it's now relatively common - even New York City bans smoking in bars.",[1 1 0 1 0],3,"Montgomery was one of the first places to enact such a law, but many places, including New York City, now ban smoking in bars.",[1 1 0 0 0],2,1,-1,3
1086,"""We believe that it is not necessary to have a divisive confirmation fight,"" Daschle of South Dakota wrote the Republican president.",[0 0 0 1 0],1,"""We believe that it is not necessary to have a divisive confirmation fight over a Supreme Court appointment.",[0 0 0 0 0],0,1,-1,3
1088,"The blue-chip Dow Jones industrial average .DJI edged down 28.08 points, or 0.3 percent, at 9,256.49.",[1 1 1 0 0],3,"The Dow Jones industrial average closed down 18.06, or 0.2 per cent, at 9266.51.",[1 1 0 0 0],2,1,1,2
1094,"We need to challenge old habits and seriously rethink business-as-usual,"" he wrote.",[0 0 0 1 0],1,"""We need to change old habits and seriously rethink business-as-usual.""",[0 0 0 0 0],0,1,1,3
1095,Grass is the second of the Rite Aid defendants to strike a deal with federal prosecutors this month.,[0 1 0 0 0],1,The plea makes Grass the second high-ranking Rite Aid executive to strike a deal with federal prosecutors in the past two weeks.,[0 0 0 0 0],0,1,-1,1
1096,Class-action suits expand exponentially the number of plaintiffs and damages in a lawsuit by allowing initial plaintiffs to plea on behalf of a far larger group with common interest.,[1 1 0 0 0],2,Class-action suits expand sharply the number of plaintiffs and damages in a suit by allowing initial plaintiffs to sue on behalf of a larger group with common interests.,[1 0 0 0 0],1,1,1,1
1101,A sour forecast from Sun Microsystems Inc.SUNW.O put more pressure on Wall Street before the quarterly earnings season.,[1 1 0 0 0],2,"Tech stocks were hurt by a sour forecast from Sun Microsystems, which was viewed as a bad omen for the upcoming quarterly earnings season.",[1 0 0 0 0],1,1,-1,1
1102,"Culturecom is confident it will make a significant impact on market share with this new development,"" Frank Cheung, chairman of Culturecom, said in a statement.",[0 0 0 1 0],1,"He added: ""Culturecom is confident it will make a significant impact on market share with this new development.""",[0 0 0 0 0],0,1,1,3
1105,"Many compensation experts had predicted that Carty would get a generous severance package because his voluntary resignation helped preserve the concessions, the Fort Worth Star-Telegram reported.",[0 0 0 1 0],1,Many compensation experts had predicted Carty would get a generous severance deal because his voluntary resignation helped keep the concessions deals in place.,[0 0 0 0 0],0,1,-1,3
1107,"Near a mosque in the northern town of Mosul, rebel gunmen also assassinated a Sunni Muslim tribal leader who backed the coalition.",[0 0 0 1 0],1,"Also in Mosul, rebel gunmen on Friday assassinated a Sunni Muslim tribal leader who backed the coalition.",[0 0 0 0 0],0,1,-1,3
1116,"An Iranian Kurd who stitched up his eyes, lips and ears in protest at being refused asylum has been granted refugee status.",[0 1 0 0 1],2,"The Iranian refugee who sewed up his eyes, lips and ears in protest at the handling of his asylum claim has won his fight to remain in Britain.",[0 0 0 0 1],1,1,-1,1
1117,He was joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas.,[1 0 0 0 0],1,Justice Anthony Kennedy dissented in an opinion joined by Chief Justice William Rehnquist and Justices Antonin Scalia and Clarence Thomas.,[0 0 0 0 0],0,1,-1,0
1119,The stretch of Danube river passing through the Balkans dropped so low that wrecks of World War II boats became visible.,[1 1 1 0 0],3,Rivers were also drying up - a stretch of Danube passing through the Balkans dropped so low that wrecks of World War II boats became visible.,[1 1 0 0 0],2,1,1,2
1121,Rep. Dennis Kucinich of Ohio is expected to raise more than $1 million.,[0 1 0 0 0],1,Ohio Rep. Dennis Kucinich passed $1 million last week and was still counting money.,[0 0 0 0 0],0,1,1,1
1123,"After protesters rushed the stage and twice cut power to the microphone, Hedges cut his speech short.",[0 1 0 1 0],2,"After protesters rushed the stage and twice cut power to the microphone, Hedges drew the speech to an early close.",[0 0 0 1 0],1,1,-1,1
1127,The Legislature returns today for a special session and they're expected to pass a compromise bill aimed at lowering doctors' medical malpractice insurance rates.,[1 1 0 0 0],2,Florida legislators return today for a special session in which they're expected to pass a compromise bill aimed at lowering doctors' medical malpractice insurance rates.,[0 1 0 0 0],1,1,1,0
1131,"""SCO has not shown us any evidence that we've violated our agreements in any way,"" IBM spokesperson Trink Guarino told internetnews.com.",[0 0 0 1 0],1,"""SCO has not shown us any evidence that we violated our agreements,"" spokeswoman Trink Guarino said.",[0 0 0 0 0],0,1,1,3
1132,"Lawrence E. Alibozek, his former deputy chief of staff, pleaded guilty to accepting cash and gold coins in exchange for influencing state contracts.",[0 0 0 0 1],1,"In March, Rowland's former deputy chief of staff pleaded guilty to accepting gold and cash in return for steering state contracts.",[0 0 0 0 0],0,1,-1,4
1147,"No country seems likely to oppose proposals for a long-term European Council president, replacing the current rotating presidency, as well as an EU foreign minister.",[0 1 0 0 0],1,"No country now opposes plans for a long-term European Council president, replacing the current rotating presidency, as well as an EU foreign minister.",[0 0 0 0 0],0,1,1,1
1155,"""During the investigation, Bryant was cooperative with investigators and remains cooperative with authorities,"" the sheriff's office said.",[0 0 0 1 0],1,"Bryant was ""interviewed and was cooperative,"" said Kim Andree, a spokeswoman for the sheriff's office.",[0 0 0 0 0],0,1,1,3
1162,"Quattrone's action, prosecutors argue, amounted to criminal obstruction of justice.",[1 1 0 0 0],2,"Quattrone, 47, is charged with obstruction of justice and witness tampering.",[0 1 0 0 0],1,1,1,0
1163,SEA 05D is the Naval Sea Systems Command’s technical authority for surface ship design and engineering.,[1 1 0 0 0],2,The Future Concepts and Surface Ship Design Group is the Naval Sea Systems Command’s technical authority for all surface ship design and engineering.,[0 1 0 0 0],1,1,1,0
1165,"The airline has the option to buy 380 more, split evenly between the two manufacturers.",[0 1 0 0 0],1,"The airline also said it has the option to buy 380 more airplanes, orders that would be split evenly between the two manufacturers.",[0 0 0 0 0],0,1,-1,1
1169,"Mr Kenny and the Hicks family's American lawyer, Michael Ratner, are trying to get access to Mr Hicks before he faces a planned military tribunal.",[0 0 1 0 0],1,"Mr Kenny and the family's American lawyer, Michael Ratner, want access to Hicks before he faces a military tribunal.",[0 0 0 0 0],0,1,1,2
1172,Treasurys long-range plan is to provide retail buyers of all Treasury securities the ability to manage their holdings online in a single account.,[1 1 0 0 0],2,The Treasury said wants to give retail buyers of all Treasury securities the ability eventually to manage holdings online in a single account.,[0 1 0 0 0],1,1,1,0
1177,"Roxio, which is based in Santa Clara, Calif., would get access to the music libraries of the major labels and the Pressplay distribution system.",[1 1 0 0 1],3,"Roxio, would get access to more than 300,000 tracks from the music libraries of the major labels, and the Pressplay distribution system.",[1 1 0 0 0],2,1,1,4
1185,"Quattrone, 47, was highly influential at Credit Suisse First Boston during the tech bubble.",[0 1 0 0 0],1,"Quattrone, 47, was highly influential working in the Palo Alto office of Credit Suisse First Boston during the tech bubble.",[0 0 0 0 0],0,1,1,1
1190,Passengers on that cruise are to be given a refund and voucher for another trip.,[0 1 0 0 0],1,"Passengers would be given a refund and voucher for another trip, she said.",[0 0 0 0 0],0,1,-1,1
